#Mass value    Hgg width   HZZ width   Htot width 
551   0.0465712   24.9122   93.6212
552   0.0466799   25.067   94.1688
553   0.0467879   25.2223   94.7179
554   0.0468953   25.3782   95.2684
555   0.0470021   25.5346   95.8203
556   0.0471082   25.6917   96.3736
557   0.0472136   25.8493   96.9282
558   0.0473182   26.0076   97.4842
559   0.0474221   26.1666   98.0415
560   0.0475252   26.3262   98.6
561   0.0476207   26.4869   99.149
562   0.0477155   26.6484   99.6993
563   0.0478096   26.8107   100.251
564   0.0479032   26.9738   100.805
565   0.0479964   27.1376   101.36
566   0.0480892   27.3023   101.917
567   0.0481817   27.4677   102.477
568   0.0482739   27.6341   103.038
569   0.048366   27.8013   103.602
570   0.048458   27.9693   104.169
571   0.04855   28.1382   104.738
572   0.0486421   28.3081   105.31
573   0.0487343   28.4788   105.884
574   0.0488267   28.6504   106.462
575   0.0489195   28.823   107.043
576   0.0490126   28.9965   107.627
577   0.0491061   29.1709   108.215
578   0.0492001   29.3463   108.806
579   0.0492947   29.5227   109.401
580   0.04939   29.7   110
581   0.0495074   29.8857   110.641
582   0.0496252   30.0723   111.286
583   0.0497431   30.2596   111.934
584   0.0498609   30.4476   112.585
585   0.0499784   30.6361   113.237
586   0.0500953   30.825   113.892
587   0.0502114   31.0142   114.548
588   0.0503264   31.2036   115.205
589   0.0504401   31.3932   115.863
590   0.0505522   31.5827   116.52
591   0.0506625   31.7722   117.177
592   0.0507709   31.9615   117.833
593   0.0508769   32.1504   118.488
594   0.0509805   32.339   119.141
595   0.0510814   32.527   119.793
596   0.0511793   32.7145   120.441
597   0.0512741   32.9012   121.086
598   0.0513654   33.0871   121.728
599   0.0514531   33.272   122.366
600   0.051537    33.456   123
650   0.0556      44.       158
700   0.0591      56.7      199.
750   0.0622      71.9      248.
800   0.065       89.9      304.
850   0.0675      111.      371.
900   0.0697      137.      449.
950   0.0717      166.      540.
1000  0.0736      201.      647.
